"dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","country_id"
NA,NA,8,8,0.125,"VUT"
NA,1235,18,18,0.0555555555555556,"MLI"
NA,1502,32,32,0.03125,"MKD"
NA,789,35,35,0.0285714285714286,"KOR"
NA,752,46,46,0.0217391304347826,"SRB"
NA,NA,27,27,0.037037037037037,"KIR"
NA,1711,45,45,0.0222222222222222,"LKA"
NA,449,33,33,0.0303030303030303,"SYR"
NA,NA,75,75,0.0133333333333333,"SUR"
70,70,70,70,0.0142857142857143,"BDI"
53,53,53,53,0.0188679245283019,"BOL"
234,1689,171,171,0.00584795321637427,"ETH"
NA,1523,214,214,0.00467289719626168,"LTU"
NA,1313,207,207,0.00483091787439614,"KGZ"
237,237,237,237,0.00421940928270042,"USA"
NA,NA,237,237,0.00421940928270042,"GUM"
237,237,237,237,0.00421940928270042,"PRI"
NA,256,256,256,0.00390625,"BFA"
NA,NA,291,291,0.00343642611683849,"CAF"
16,16,1846,16,0.0625,"TJK"
1329,74,1329,74,0.0135135135135135,"POL"
NA,108,591,108,0.00925925925925926,"ISL"
NA,113,1532,113,0.00884955752212389,"MWI"
660,1737,811,660,0.00151515151515152,"DZA"
NA,NA,895,895,0.00111731843575419,"AGO"
NA,360,1145,360,0.00277777777777778,"BEN"
NA,NA,1687,1687,0.000592768227622999,"BWA"
1115,2036,1815,1115,0.000896860986547085,"CMR"
NA,570,374,374,0.00267379679144385,"CPV"
NA,395,NA,395,0.00253164556962025,"TCD"
NA,1474,1775,1474,0.00067842605156038,"COM"
1481,NA,1390,1390,0.000719424460431655,"COD"
NA,393,1079,393,0.00254452926208651,"DJI"
NA,745,249,249,0.00401606425702811,"EGY"
994,1139,994,994,0.00100603621730382,"GNQ"
295,1264,1329,295,0.00338983050847458,"GAB"
NA,630,756,630,0.00158730158730159,"GMB"
NA,271,271,271,0.003690036900369,"GHA"
NA,214,2567,214,0.00467289719626168,"GIN"
NA,NA,1094,1094,0.000914076782449726,"GNB"
295,228,295,228,0.0043859649122807,"CIV"
881,NA,881,881,0.00113507377979569,"KEN"
NA,NA,111,111,0.00900900900900901,"LSO"
234,NA,1308,234,0.00427350427350427,"LBR"
NA,NA,NA,2000,0,"LBY"
354,NA,1542,354,0.00282485875706215,"MDG"
NA,1564,1269,1269,0.000788022064617809,"MRT"
NA,NA,NA,2000,0,"MUS"
599,NA,629,599,0.00166944908180301,"MAR"
NA,NA,1679,1679,0.000595592614651578,"MOZ"
295,NA,1725,295,0.00338983050847458,"NAM"
NA,NA,347,347,0.00288184438040346,"NER"
1084,1079,1084,1079,0.00092678405931418,"NGA"
1268,374,872,374,0.00267379679144385,"COG"
1664,1607,1298,1298,0.000770416024653313,"RWA"
NA,493,940,493,0.00202839756592292,"STP"
NA,NA,871,871,0.00114810562571757,"SEN"
NA,267,583,267,0.00374531835205993,"SYC"
NA,NA,1091,1091,0.000916590284142988,"SLE"
234,699,234,234,0.00427350427350427,"SOM"
NA,NA,1542,1542,0.000648508430609598,"ZAF"
NA,NA,763,763,0.00131061598951507,"SDN"
NA,NA,1298,1298,0.000770416024653313,"SWZ"
NA,NA,228,228,0.0043859649122807,"TZA"
NA,45,1379,45,0.0222222222222222,"TGO"
NA,1718,1670,1670,0.000598802395209581,"TUN"
NA,NA,344,344,0.00290697674418605,"UGA"
NA,NA,518,518,0.00193050193050193,"ZMB"
1237,NA,1237,1237,0.000808407437348424,"ZWE"
NA,NA,1115,1115,0.000896860986547085,"ATG"
599,1325,599,599,0.00166944908180301,"ARG"
NA,NA,780,780,0.00128205128205128,"BHS"
NA,NA,1176,1176,0.000850340136054422,"BRB"
NA,NA,264,264,0.00378787878787879,"BLZ"
NA,NA,859,859,0.00116414435389988,"BMU"
935,935,935,935,0.00106951871657754,"BRA"
NA,NA,1314,1314,0.00076103500761035,"CAN"
NA,NA,439,439,0.00227790432801822,"CYM"
629,618,629,618,0.00161812297734628,"CHL"
750,807,750,750,0.00133333333333333,"COL"
NA,695,695,695,0.00143884892086331,"CRI"
NA,NA,1095,1095,0.00091324200913242,"CUB"
NA,NA,1731,1731,0.000577700751010976,"DMA"
67,126,67,67,0.0149253731343284,"DOM"
NA,345,345,345,0.00289855072463768,"ECU"
NA,1424,358,358,0.00279329608938547,"SLV"
NA,NA,608,608,0.00164473684210526,"FLK"
NA,NA,1115,1115,0.000896860986547085,"GRD"
NA,1192,1192,1192,0.000838926174496644,"GTM"
NA,NA,1817,1817,0.000550357732526142,"GUY"
NA,619,NA,619,0.00161550888529887,"HTI"
NA,625,625,625,0.0016,"HND"
NA,NA,354,354,0.00282485875706215,"JAM"
1603,1573,507,507,0.0019723865877712,"MEX"
NA,605,605,605,0.00165289256198347,"NIC"
NA,1516,1516,1516,0.000659630606860158,"PAN"
1145,NA,1145,1145,0.000873362445414847,"PRY"
NA,395,321,321,0.00311526479750779,"PER"
NA,NA,1912,1912,0.000523012552301255,"KNA"
NA,NA,476,476,0.00210084033613445,"LCA"
NA,NA,273,273,0.00366300366300366,"VCT"
NA,NA,234,234,0.00427350427350427,"TTO"
1691,1691,1691,1691,0.000591366055588409,"URY"
NA,1531,270,270,0.0037037037037037,"VEN"
NA,1662,1329,1329,0.000752445447705041,"AFG"
NA,NA,994,994,0.00100603621730382,"BHR"
NA,NA,1389,1389,0.000719942404607631,"BGD"
1145,NA,1329,1145,0.000873362445414847,"BTN"
264,NA,264,264,0.00378787878787879,"MMR"
1084,NA,1237,1084,0.000922509225092251,"KHM"
NA,NA,177,177,0.00564971751412429,"HKG"
295,858,1511,295,0.00338983050847458,"IND"
NA,1498,1498,1498,0.000667556742323097,"IDN"
NA,434,1442,434,0.00230414746543779,"IRN"
NA,NA,792,792,0.00126262626262626,"IRQ"
NA,NA,1452,1452,0.00068870523415978,"ISR"
872,NA,599,599,0.00166944908180301,"JPN"
NA,NA,203,203,0.00492610837438424,"JOR"
111,1551,385,111,0.00900900900900901,"KAZ"
NA,NA,218,218,0.00458715596330275,"KWT"
NA,NA,374,374,0.00267379679144385,"LAO"
NA,NA,786,786,0.00127226463104326,"LBN"
NA,NA,1176,1176,0.000850340136054422,"MYS"
NA,1291,1487,1291,0.000774593338497289,"MDV"
NA,472,110,110,0.00909090909090909,"MNG"
691,1097,994,691,0.00144717800289436,"NPL"
NA,NA,1460,1460,0.000684931506849315,"PRK"
NA,NA,1329,1329,0.000752445447705041,"OMN"
385,NA,1237,385,0.0025974025974026,"PAK"
NA,NA,NA,2000,0,"PSE"
789,789,789,789,0.00126742712294043,"PHL"
NA,1281,184,184,0.00543478260869565,"SGP"
NA,1401,1401,1401,0.000713775874375446,"TWN"
NA,NA,1115,1115,0.000896860986547085,"THA"
NA,739,1221,739,0.0013531799729364,"TLS"
NA,1200,1200,1200,0.000833333333333333,"TUR"
NA,1433,1109,1109,0.000901713255184851,"TKM"
1787,633,1756,633,0.00157977883096367,"UZB"
NA,NA,437,437,0.0022883295194508,"VNM"
NA,NA,NA,2000,0,"YEM"
NA,NA,471,471,0.00212314225053079,"ALB"
NA,NA,1122,1122,0.00089126559714795,"AND"
NA,1817,NA,1817,0.000550357732526142,"ARM"
NA,774,1664,774,0.00129198966408269,"AUT"
NA,1857,255,255,0.00392156862745098,"AZE"
1359,214,1359,214,0.00467289719626168,"BLR"
1603,NA,1542,1542,0.000648508430609598,"BEL"
NA,NA,964,964,0.00103734439834025,"BIH"
NA,605,430,430,0.00232558139534884,"BGR"
NA,1747,279,279,0.003584229390681,"HRV"
NA,1053,437,437,0.0022883295194508,"CYP"
234,1037,599,234,0.00427350427350427,"CZE"
NA,NA,1193,1193,0.000838222967309304,"DNK"
NA,NA,1089,1089,0.000918273645546373,"EST"
NA,1418,1129,1129,0.000885739592559787,"FIN"
1298,773,841,773,0.00129366106080207,"FRA"
NA,1692,211,211,0.004739336492891,"GEO"
NA,NA,568,568,0.00176056338028169,"DEU"
NA,NA,1315,1315,0.000760456273764259,"GIB"
NA,NA,1213,1213,0.000824402308326463,"GRC"
NA,NA,758,758,0.00131926121372032,"HUN"
1846,2055,1815,1815,0.000550964187327824,"IRL"
1115,NA,1115,1115,0.000896860986547085,"ITA"
NA,352,1304,352,0.00284090909090909,"RKS"
NA,1174,934,934,0.00107066381156317,"LVA"
NA,NA,1312,1312,0.00076219512195122,"LUX"
NA,NA,814,814,0.00122850122850123,"MLT"
NA,NA,1067,1067,0.000937207122774133,"MCO"
NA,233,1445,233,0.00429184549356223,"MDA"
NA,1130,219,219,0.0045662100456621,"MNE"
1176,NA,385,385,0.0025974025974026,"NLD"
NA,NA,549,549,0.00182149362477231,"NOR"
NA,319,1306,319,0.00313479623824451,"PRT"
295,1705,295,295,0.00338983050847458,"ROU"
NA,1468,568,568,0.00176056338028169,"RUS"
NA,NA,NA,2000,0,"SMR"
NA,1466,1450,1450,0.000689655172413793,"SVK"
994,955,841,841,0.00118906064209275,"SVN"
1359,NA,1359,1359,0.000735835172921266,"ESP"
NA,NA,914,914,0.00109409190371991,"SWE"
1329,NA,1329,1329,0.000752445447705041,"CHE"
NA,1481,1593,1481,0.000675219446320054,"UKR"
NA,NA,1513,1513,0.000660938532716457,"GBR"
811,NA,811,811,0.00123304562268804,"AUS"
NA,NA,765,765,0.00130718954248366,"COK"
NA,NA,359,359,0.00278551532033426,"FSM"
NA,NA,978,978,0.00102249488752556,"FJI"
NA,NA,1349,1349,0.000741289844329133,"MHL"
NA,NA,531,531,0.00188323917137476,"NRU"
NA,NA,192,192,0.00520833333333333,"NZL"
NA,NA,56,56,0.0178571428571429,"NIU"
237,235,237,235,0.00425531914893617,"PLW"
NA,NA,856,856,0.00116822429906542,"PNG"
NA,NA,358,358,0.00279329608938547,"WSM"
NA,NA,1118,1118,0.000894454382826476,"SLB"
NA,NA,615,615,0.0016260162601626,"TON"
NA,NA,1277,1277,0.000783085356303837,"TUV"
NA,NA,NA,2000,0,"BRN"
NA,NA,NA,2000,0,"QAT"
NA,NA,NA,2000,0,"SAU"
NA,NA,NA,2000,0,"SSD"
NA,NA,NA,2000,0,"ARE"
