"elf_epr","rq_polarization","count_powerless","share_powerless","country_id"
0.74431,0.675506888,1,0.015,"AFG"
0.3144,0.5328,2,0.1,"ALB"
0.4032,0.8064,1,0.28,"DZA"
0.7482,0.69876,4,0.62,"AGO"
0.0586500000000001,0.114681,1,0.015,"ARG"
0.04133878,0.0813797014400001,2,0.0139,"ARM"
0.2824,0.495296,1,0.02,"AUS"
0.130968,0.25765056,1,0.006,"AUT"
0.151706,0.278217208,2,0.033,"AZE"
0.264682,0.4799858,0,0,"BHS"
0.605,0.895,0,0,"BHR"
0.188822,0.37303984,0,0,"BGD"
0,0,0,0,"BRB"
0.370286,0.610757152,0,0,"BLR"
0.4918,0.95528,1,0.01,"BEL"
0.635144,0.790885528,2,0.174,"BLZ"
0.77765,0.667999,0,0,"BEN"
0.72,0.768,1,0.4,"BTN"
0.6724,0.852944,1,0.03,"BOL"
0.62959,0.84706976,0,0,"BIH"
0.60607,0.772513256,7,0.088,"BWA"
0.515262,0.983524128,2,0.511,"BRA"
0.6184,0.750776,0,0,"BRN"
0.298306,0.515108312,2,0.15,"BGR"
0.4422,0.8844,0,0,"BFA"
0.2578,0.50132,0,0,"BDI"
0.096784,0.183312128,1,0.012,"KHM"
0.8358,0.535488,0,0,"CMR"
0.578382,0.80568456,1,0.043,"CAN"
0,0,0,0,"CPV"
0.640722,0.82684668,0,0,"CAF"
0.62885,0.788149,1,0.04,"TCD"
0.16605,0.319815,2,0.09,"CHL"
0.16040128,0.284075382944,34,0.0711,"CHN"
0.413008,0.74307392,2,0.264,"COL"
0.546022,0.95244584,0,0,"COM"
0.7422,0.7074,3,0.38,"COG"
0.889634,0.375786904,4,0.393,"COD"
0.28905,0.49543356,2,0.102,"CRI"
0.773,0.66676,1,0.11,"CIV"
0.17966754,0.32579649708,3,0.0148,"HRV"
0.460238,0.920476,0,0,"CUB"
0.3272,0.61984,0,0,"CYP"
0.054432,0.108864,0,0,"CZE"
0,0,0,0,"PRK"
0,0,0,0,"DNK"
0.5598,0.90576,0,0,"DJI"
0,0,0,0,"DOM"
0.3266,0.560392,3,0.19,"ECU"
0.1638,0.3276,1,0.09,"EGY"
0.18,0.36,1,0.1,"SLV"
0.25914,0.44437248,0,0,"GNQ"
0.6126,0.869136,0,0,"ERI"
0.471852,0.793130784,3,0.29,"EST"
0.75915316,0.687223204736,2,0.011,"ETH"
0.528158,0.89773888,0,0,"FJI"
0.1314,0.256104,0,0,"FIN"
0.0472560000000001,0.0921139200000001,2,0.008,"FRA"
0.7518,0.71712,0,0,"GAB"
0.324558,0.518867952,2,0.11,"GEO"
0,0,0,0,"DEU"
0.77635,0.653234,0,0,"GHA"
0.0778420000000001,0.14965556,1,0.01,"GRC"
0.504362,0.99382036,3,0.52,"GTM"
0.7,0.8,1,0.4,"GIN"
0.7722,0.680088,0,0,"GNB"
0.681866,0.809994472,1,0.092,"GUY"
0,0,0,0,"HTI"
0.166728,0.31741536,2,0.086,"HND"
0.185,0.343,1,0.05,"HUN"
0,0,0,0,"ISL"
0.87842752,0.39341005292,7,0.1265,"IND"
0.73376162,0.657543202168,4,0.0692,"IDN"
0.66757228,0.739471426544,4,0.0146,"IRN"
0.546068,0.79418008,3,0.196,"IRQ"
0,0,0,0,"IRL"
0.7736,0.678184,1,0.12,"ISR"
0.124528,0.232176776,4,0.038,"ITA"
0,0,0,0,"JAM"
0.04140272,0.0811287366400001,3,0.0122,"JPN"
0.5848,0.90368,1,0.06,"JOR"
0.53198,0.797950192,5,0.324,"KAZ"
0.8456,0.498712,0,0,"KEN"
0.186662,0.336729664,5,0.094,"RKS"
0.5372,0.796912,0,0,"KWT"
0.537946,0.734551208,2,0.135,"KGZ"
0.6498,0.714072,1,0.02,"LAO"
0.567742,0.827344784,3,0.353,"LVA"
0.813,0.5628,3,0.03,"LBN"
0,0,0,0,"LSO"
0.403342,0.60588056,0,0,"LBR"
0.275128,0.4901408,3,0.156,"LBY"
0.28216,0.4814816,2,0.124,"LTU"
0,0,0,0,"LUX"
0.521588,0.790854016,5,0.097,"MKD"
0.598658,0.91123804,0,0,"MDG"
0.6088,0.90848,0,0,"MWI"
0.59457,0.785941128,3,0.065,"MYS"
0.0198,0.0396,0,0,"MDV"
0.1842,0.34572,0,0,"MLI"
0,0,0,0,"MLT"
0.66,0.888,1,0.3,"MRT"
0.7298,0.725512,4,0.41,"MUS"
0.335686,0.589611872,2,0.192,"MEX"
0.416144,0.634021912,3,0.172,"MDA"
0.185,0.343,1,0.05,"MNG"
0.692744,0.761057656,2,0.297,"MNE"
0.495616,0.946675712,1,0.392,"MAR"
0.603234,0.8292702,1,0.098,"MOZ"
0.52212,0.64966788,7,0.233,"MMR"
0.725492,0.597284416,4,0.093,"NAM"
0.7656,0.677736,3,0.5,"NPL"
0,0,0,0,"NLD"
0.508194,0.714663912,1,0.092,"NZL"
0.250902,0.44907168,3,0.127,"NIC"
0.62145,0.763815,1,0.005,"NER"
0.79265,0.639973,3,0.13,"NGA"
0,0,0,0,"NOR"
0.3848,0.7696,0,0,"OMN"
0.636466,0.725008712,2,0.23,"PAK"
0.338562,0.58650636,4,0.198,"PAN"
0.065688,0.131376,1,0.034,"PNG"
0.10535,0.202762,1,0.02,"PRY"
0.593386,0.874592792,3,0.423,"PER"
0.253668,0.44773728,2,0.126,"PHL"
0.0779848200000001,0.1490972658,3,0.015,"POL"
0,0,0,0,"PRT"
0.205088,0.410176,0,0,"QAT"
0,0,0,0,"KOR"
0.293048,0.496617736,2,0.092,"ROU"
0.34612914,0.512973509952,36,0.1672,"RUS"
0.2718,0.52848,1,0.84,"RWA"
0.7358,0.749296,0,0,"SAU"
0.72345,0.711567,0,0,"SEN"
0.289592,0.485512936,5,0.079,"SRB"
0.7486,0.724688,1,0.04,"SLE"
0.4264,0.661688,0,0,"SGP"
0.331514,0.572178904,0,0,"SVK"
0.28262886,0.556512528192,3,0.0053,"SVN"
0,0,0,0,"SLB"
0,0,0,0,"SOM"
0.87550592,0.4140988528,1,2e-04,"ZAF"
0.7703305,0.620582885,7,0.2665,"SSD"
0.501838,0.714068144,4,0.302,"ESP"
0.4156,0.6416,2,0.13,"LKA"
0.795692,0.61098112,4,0.633,"SDN"
0.77224688,0.67928372032,3,0.27,"SUR"
0,0,0,0,"SWZ"
0,0,0,0,"SWE"
0.541166,0.785280592,0,0,"CHE"
0.5432,0.713752,4,0.86,"SYR"
0.2744,0.520576,1,0.02,"TWN"
0.31006,0.538863776,4,0.157,"TJK"
0.505552,0.912550952,3,0.036,"TZA"
0.31875,0.55221,2,0.015,"THA"
0.7544,0.679393,0,0,"GMB"
0,0,0,0,"TIB"
0,0,0,0,"TLS"
0.6494,0.885376,1,0.44,"TGO"
0.665304,0.888951936,0,0,"TTO"
0.0392000000000001,0.0784000000000001,0,0,"TUN"
0.40103688,0.6840039696,0,0,"TUR"
0.2712,0.45756,3,0.1,"TKM"
0.845396,0.49579864,2,0.18,"UGA"
0.32722752,0.58353880608,3,0.0122,"UKR"
0.2112,0.4224,0,0,"ARE"
0.32496,0.53119884,4,0.07,"GBR"
0.52441752,0.73087317504,3,0.0568,"USA"
0.169256,0.326613568,1,0.078,"URY"
0.34895,0.5536,3,0.13,"UZB"
0.264542,0.49474,2,0.152,"VEN"
0.27413,0.446554504,9,0.106,"VNM"
0.625,0.875,1,0.49,"YEM"
0.7026,0.75444,1,0.12,"ZMB"
0.307,0.55544,0,0,"ZWE"
