"federal_ind","country_id"
-0.5602615492495,"AFG"
-0.619584858491493,"AGO"
0.208983076378688,"ALB"
-0.49766923150949,"ARE"
0.738101406587483,"ARG"
0.208983076378688,"ARM"
0.514472000666193,"AUS"
0.738101406587483,"AUT"
0.686552403409999,"AZE"
0.369704122618734,"BDI"
0.738101406587483,"BEL"
0.740836161074341,"BEN"
-0.996654688698862,"BGD"
0.24185070388497,"BGR"
-0.779974484290015,"BHR"
-0.875373833990843,"BHS"
0.516210604554769,"BIH"
-0.626950298691315,"BLR"
-1.02854486475107,"BLZ"
0.0611644019031355,"BOL"
0.763042381127247,"BRA"
-0.875373833990843,"BRB"
-0.377963492033085,"BTN"
-0.133954341966039,"BWA"
-0.996654688698862,"CAF"
0.763042381127247,"CAN"
0.763042381127247,"CHE"
-0.378379918230261,"CHL"
1.51222266513255,"CHN"
-0.377401992406946,"CIV"
-0.0694237713174864,"COG"
0.763042381127247,"COL"
0.288793160716223,"COM"
-0.375228737546226,"CRI"
-0.685941713122544,"CUB"
0.429561685871885,"CZE"
0.763042381127247,"DEU"
1.51222266513255,"DNK"
-0.129809537769207,"DOM"
-0.443002060532276,"DZA"
-0.375228737546226,"ECU"
-0.688114967983264,"EGY"
-1.02854486475107,"ERI"
1.29815435780709,"ESP"
0.790473435632227,"ETH"
0.790473435632227,"FIN"
1.05132258123461,"FRA"
-0.375228737546226,"GAB"
0.845140606609441,"GBR"
-0.376520782202939,"GHA"
-0.619584858491493,"GMB"
-0.987509823005338,"GNQ"
0.602200954019173,"GRC"
-0.831912504217225,"GRD"
-0.996654688698862,"GTM"
0.620369370666152,"GUY"
-0.202403217908776,"HND"
-0.376520782202939,"HRV"
-0.206049557224587,"HTI"
-0.375228737546226,"HUN"
1.51222266513255,"IDN"
0.267640224093715,"IND"
0.17625063575964,"IRL"
-0.205300891056403,"IRN"
0.208983076378688,"ISL"
1.29815435780709,"ITA"
-0.616687185343867,"JOR"
0.678243843334332,"JPN"
-0.463987539703379,"KAZ"
-0.205300891056403,"KGZ"
0.686552403409999,"KOR"
-0.685941713122544,"KWT"
-0.205300891056403,"LAO"
-0.616687185343867,"LBN"
0.620369370666152,"LBY"
0.17625063575964,"LCA"
0.620369370666152,"LKA"
-0.875373833990843,"LSO"
-0.202403217908776,"LTU"
-0.996654688698862,"MAR"
0.17625063575964,"MDG"
0.763042381127247,"MEX"
-0.202403217908776,"MKD"
-0.202403217908776,"MLI"
-0.616687185343867,"MLT"
-0.205300891056403,"MNG"
-0.377401992406946,"MOZ"
-1.03097115277896,"MWI"
-0.0724315217028066,"MYS"
-0.534881311606112,"NGA"
0.689450076557626,"NIC"
0.0589911470424159,"NLD"
0.208983076378688,"NOR"
0.123756719643145,"NPL"
0.620369370666152,"NZL"
-1.02854486475107,"OMN"
0.727881117892217,"PAK"
0.686552403409999,"PAN"
-0.616687185343867,"PER"
0.896559791747335,"PHL"
0.689450076557626,"PNG"
0.369704122618734,"POL"
0.620369370666152,"PRK"
0.689450076557626,"PRT"
-0.616687185343867,"QAT"
0.369704122618734,"ROU"
-0.751541781247874,"RWA"
-1.03097115277896,"SAU"
0.769260160895161,"SDN"
-0.382524722427093,"SEN"
-0.996654688698862,"SGP"
-1.03097115277896,"SLE"
-0.375228737546226,"SLV"
0.620369370666152,"SVK"
0.208983076378688,"SWE"
-0.875373833990843,"SWZ"
-0.996654688698862,"TCD"
0.620369370666152,"TGO"
-0.440828805671557,"THA"
0.686552403409999,"TJK"
-1.03097115277896,"TKM"
-0.996654688698862,"TLS"
0.369704122618734,"TUN"
-0.202403217908776,"TUR"
-0.0526012454159151,"URY"
1.29815435780709,"USA"
0.432296440358743,"VEN"
-0.202403217908776,"VNM"
0.678243843334332,"ZAF"
-0.875373833990843,"ZWE"
