"","detect_index","country_id"
"1",98.2,"USA"
"2",97.3,"AUS"
"3",97.3,"LVA"
"4",96.4,"CAN"
"5",92.1,"KOR"
"6",87.3,"GBR"
"7",86,"DNK"
"8",86,"NLD"
"9",86,"SWE"
"10",84.6,"DEU"
"11",83,"ESP"
"12",82.4,"BRA"
"13",81.5,"LTU"
"14",81.5,"ZAF"
"15",81,"THA"
"16",78.5,"ITA"
"17",78.4,"GRC"
"18",78,"IRL"
"19",77.6,"EST"
"20",77.3,"MNG"
"21",75.3,"FRA"
"22",75,"GEO"
"23",74.9,"ARG"
"24",74.4,"SAU"
"25",74.3,"ALB"
"26",73.9,"SLV"
"27",73.7,"SVN"
"28",73.2,"AUT"
"29",73.2,"MYS"
"30",72.7,"CHL"
"31",72.3,"HRV"
"32",71.2,"ECU"
"33",71.2,"MEX"
"34",70.4,"LAO"
"35",70.1,"JPN"
"36",68.6,"KEN"
"37",68.1,"IDN"
"38",65.6,"ZWE"
"39",64.7,"KGZ"
"40",64.5,"SGP"
"41",63.6,"PHL"
"42",62.5,"BEL"
"43",62,"LBN"
"44",61.7,"POL"
"45",61.6,"FIN"
"46",60.8,"ARM"
"47",59.2,"MMR"
"48",59.1,"CHE"
"49",58.6,"NOR"
"50",57.7,"KHM"
"51",57.4,"VNM"
"52",57.2,"GIN"
"53",56.8,"MAR"
"54",56,"CRI"
"55",55.5,"HUN"
"56",55.4,"MNE"
"57",53.3,"BGR"
"58",52.4,"ISR"
"59",50.9,"BGD"
"60",50.7,"CZE"
"61",50.5,"PRT"
"62",50.3,"UGA"
"63",50,"GTM"
"64",48.5,"CHN"
"65",48.3,"HTI"
"66",47.5,"KWT"
"67",47.4,"IND"
"68",46.8,"TGO"
"69",46.2,"SRB"
"70",46,"NAM"
"71",46,"SVK"
"72",45.8,"BHR"
"73",45.8,"SLE"
"74",45.6,"TUR"
"75",45,"AZE"
"76",44.9,"CYP"
"77",44.8,"AFG"
"78",44.6,"NGA"
"79",44.6,"PAN"
"80",44.5,"CIV"
"81",44.4,"NER"
"82",43,"LKA"
"83",42.9,"JOR"
"84",42.9,"MDA"
"85",42.8,"BTN"
"86",42.8,"ROU"
"87",42.3,"MUS"
"88",42.2,"IRQ"
"89",42,"TZA"
"90",41.9,"MDG"
"91",41.9,NA
"92",41.7,"BIH"
"93",41.7,"COL"
"94",41.7,"LUX"
"95",41.7,"MKD"
"96",41.7,"PAK"
"97",41.5,"EGY"
"98",41.1,"OMN"
"99",40.5,"GHA"
"100",39.9,"NIC"
"101",39.5,"MRT"
"102",38.6,"TKM"
"103",38.3,"PER"
"104",37.7,"IRN"
"105",37.2,"ISL"
"106",37.1,"DOM"
"107",36.9,"GMB"
"108",36.7,"NZL"
"109",36.7,"SUR"
"110",36.5,"TCD"
"111",36.5,"UKR"
"112",36,"LBY"
"113",36,"RWA"
"114",35.6,"CMR"
"115",35.1,"SEN"
"116",34.6,"PRY"
"117",34.1,"RUS"
"118",33.9,"SMR"
"119",33.7,"ETH"
"120",33.5,"URY"
"121",33.4,"SYC"
"122",33.3,"BFA"
"123",33.1,"BOL"
"124",32.9,"MLT"
"125",32.7,"QAT"
"126",31.8,"PNG"
"127",31.6,"ARE"
"128",30.5,"BRN"
"129",30.4,"BLZ"
"130",30.3,"LCA"
"131",29.3,"MOZ"
"132",29.1,"LBR"
"133",28.9,"BLR"
"134",28.2,"BWA"
"135",28.2,"KAZ"
"136",27.7,"HND"
"137",26.3,"TUN"
"138",25.7,"TLS"
"139",25.5,"SWZ"
"140",25.5,"MDV"
"141",25.5,"MLI"
"142",25.1,"COD"
"143",24.3,"JAM"
"144",24.2,"BEN"
"145",24.1,"TJK"
"146",23.4,"GNB"
"147",23.3,"MWI"
"148",23.3,"MCO"
"149",23.2,"COM"
"150",22.9,"LIE"
"151",22,"NPL"
"152",21.9,"ZMB"
"153",21.8,"BHS"
"154",21.5,"SOM"
"155",20.6,"VCT"
"156",20.3,"GUY"
"157",19.4,"UZB"
"158",19.1,"ATG"
"159",19.1,"BRB"
"160",18.6,"GRD"
"161",18,"LSO"
"162",17.9,"AGO"
"163",17.7,"CAF"
"164",17.2,"ERI"
"165",17,"DJI"
"166",16.4,"FJI"
"167",15.9,"SSD"
"168",15,"KNA"
"169",15,"TON"
"170",15,"VUT"
"171",14.7,"TTO"
"172",14.2,"AND"
"173",14.2,"FSM"
"174",14.1,"WSM"
"175",12,"DZA"
"176",11.4,"BDI"
"177",10.7,"DMA"
"178",10.5,"CUB"
"179",9.3,"CPV"
"180",9,"YEM"
"181",8.8,"COK"
"182",8.8,"PLW"
"183",8.7,"SLB"
"184",8.7,"TUV"
"185",8.7,"VEN"
"186",7,"COG"
"187",7,"PRK"
"188",7,"SDN"
"189",6.1,"GAB"
"190",4.4,"GNQ"
"191",4.4,"KIR"
"192",4.4,"MHL"
"193",4.4,"NRU"
"194",4.4,"NIU"
"195",2.7,"STP"
"196",2.7,"SYR"
