"","respond_index","country_id"
"1",91.9,"GBR"
"2",79.7,"USA"
"3",79.3,"CHE"
"4",79.1,"NLD"
"5",78.6,"THA"
"6",71.5,"KOR"
"7",69.2,"FIN"
"8",67.7,"PRT"
"9",67.1,"BRA"
"10",65.9,"AUS"
"11",64.6,"SGP"
"12",63.3,"SVN"
"13",62.9,"FRA"
"14",62.8,"SWE"
"15",61.9,"ESP"
"16",61.3,"MYS"
"17",60.7,"CAN"
"18",60.2,"CHL"
"19",58.4,"DNK"
"20",58.2,"NOR"
"21",58.1,"NZL"
"22",57.8,"MDG"
"23",57.7,"ZAF"
"24",56.9,"FSM"
"25",56.5,"UGA"
"26",55.5,"ARM"
"27",55.1,"SRB"
"28",54.8,"DEU"
"29",54.7,"LVA"
"30",54.3,"IDN"
"31",53.6,"JPN"
"32",52.4,"IND"
"33",52.2,"HUN"
"34",52,"ALB"
"35",52,"LAO"
"36",51.8,"BIH"
"37",51.7,"PER"
"38",51.5,"MAR"
"39",50.8,"MEX"
"40",50.6,"ARG"
"41",50.4,"MMR"
"42",50.2,"KWT"
"43",50.1,"RUS"
"44",49.9,"KGZ"
"45",49.7,"ARE"
"46",49,"TUR"
"47",48.6,"CHN"
"48",48,"QAT"
"49",47.9,"LBN"
"50",47.8,"JOR"
"51",47.5,"ITA"
"52",47.5,"POL"
"53",47.3,"BEL"
"54",47.3,"DOM"
"55",47.3,"SUR"
"56",47,"EST"
"57",46.6,"BLR"
"58",46.6,"CAF"
"59",46.6,"CZE"
"60",46.4,"PAN"
"61",45.4,"SEN"
"62",45.1,"IRL"
"63",45,"EGY"
"64",44.8,"SLE"
"65",44.7,"ETH"
"66",44,"GRC"
"67",44,"ISL"
"68",43.8,"NGA"
"69",43.8,"PHL"
"70",43.5,"COL"
"71",43.2,"BHR"
"72",43.2,"TTO"
"73",43,"VNM"
"74",42.9,"TJK"
"75",42.4,"LCA"
"76",42.3,"AUT"
"77",42.1,"SLV"
"78",42,"BTN"
"79",41.9,"NPL"
"80",41.6,"OMN"
"81",41.3,"URY"
"82",40.5,"LBR"
"83",40.2,"MDV"
"84",39.9,"ISR"
"85",39.5,"ECU"
"86",39.2,"NIC"
"87",39.1,"TUN"
"88",38.7,"PAK"
"89",38,"BFA"
"90",37.8,"MNG"
"91",37.3,"SDN"
"92",37.1,"GEO"
"93",37.1,"KEN"
"94",36.8,"TZA"
"95",36.7,"KHM"
"96",36.6,"CRI"
"97",36.2,"GUY"
"98",35.3,"ROU"
"99",34.9,"MUS"
"100",34.8,"PNG"
"101",34.8,"UKR"
"102",34.6,"LIE"
"103",34.5,"TCD"
"104",34.2,"GMB"
"105",34.1,"BEN"
"106",34.1,"SVK"
"107",33.9,"CYP"
"108",33.9,"LTU"
"109",33.7,"IRN"
"110",33.4,"BRN"
"111",33.2,"LSO"
"112",33.1,"MKD"
"113",32.7,"CPV"
"114",32.6,"SAU"
"115",32.4,"HRV"
"116",32.1,"MNE"
"117",31.9,"RWA"
"118",31.5,"GHA"
"119",31.3,"COD"
"120",31.1,"MDA"
"121",30.9,"BHS"
"122",30.9,"NAM"
"123",30.5,"AND"
"124",30.4,"TGO"
"125",30.2,"TLS"
"126",30.1,"ZWE"
"127",29.7,"CIV"
"128",29.5,"CMR"
"129",29.5,"MLI"
"130",29.3,"SWZ"
"131",29.2,"BOL"
"132",29.2,"VCT"
"133",28.9,"WSM"
"134",28.6,"ZMB"
"135",28.4,"BDI"
"136",28.4,"GRD"
"137",28.3,"FJI"
"138",27.8,"UZB"
"139",27.3,"LUX"
"140",27.2,"BRB"
"141",27.1,"COM"
"142",26.8,"PRY"
"143",26.6,"KAZ"
"144",26.5,"HND"
"145",26.4,"LKA"
"146",26.2,"KNA"
"147",26,"MCO"
"148",26,"TKM"
"149",25.9,"CUB"
"150",25.9,"NRU"
"151",25.5,"AZE"
"152",25.5,"BLZ"
"153",25.1,"TON"
"154",25,"GTM"
"155",24.8,"VUT"
"156",24.7,"JAM"
"157",24.5,"PLW"
"158",24.3,"SSD"
"159",24.2,"MRT"
"160",23.9,"BWA"
"161",23.6,"AFG"
"162",23.6,"COG"
"163",23.4,"KIR"
"164",23.2,"DJI"
"165",23.1,"BGD"
"166",23,"GIN"
"167",23,"SYR"
"168",22.4,"MLT"
"169",21.8,"NIU"
"170",21.7,"AGO"
"171",21.7,"ATG"
"172",21.7,"BGR"
"173",21.1,"HTI"
"174",20.9,"DMA"
"175",20.8,"SMR"
"176",20.7,"MWI"
"177",20.7,"SYC"
"178",20.6,"GAB"
"179",20.1,"NER"
"180",19.7,"VEN"
"181",19.6,"DZA"
"182",19.6,"TUV"
"183",19.5,"IRQ"
"184",19,"YEM"
"185",18.9,"LBY"
"186",18.7,"STP"
"187",18.7,"SLB"
"188",18.2,"MOZ"
"189",18.1,"MHL"
"190",17.8,"GNB"
"191",17.6,"GNQ"
"192",17.5,"COK"
"193",17.4,"SOM"
"194",16,"ERI"
"195",11.3,"PRK"
