"pos_gov_lr","country_id"
7.03110649350649,"AUS"
5.39767731958763,"AUT"
6.49759473684211,"BEL"
7.70983606557377,"BGR"
5.0552,"CAN"
6.42860285714286,"HRV"
8.6842,"CYP"
5.52359677419355,"CZE"
3.8011,"DNK"
5.12032280701754,"EST"
4.2039474137931,"FIN"
6.35802516129032,"FRA"
5.25131353383459,"DEU"
6.7365,"GRC"
6.64627368421053,"HUN"
4.94527428571429,"ISL"
6.4372,"IRL"
6.75846097560976,"ISR"
7.80647451612903,"JPN"
7.63279393939394,"LVA"
3.52919268292683,"LTU"
4.3336064516129,"LUX"
4.2105,"MLT"
6.20784736842105,"NLD"
4.36111746031746,"NZL"
7.2698262295082,"NOR"
7.6997,"POL"
4.0492,"PRT"
6.0543,"ROU"
7.2821052631579,"SVK"
5.95058510638298,"SVN"
3.18725161290323,"ESP"
3.43562413793103,"SWE"
5.22625821917808,"CHE"
6.9873,"TUR"
7.4261,"GBR"
