"","med_age_2013","country_id"
"1",16.5,"AFG"
"2",32.9,"ALB"
"3",26.9,"DZA"
"4",16.3,"AGO"
"5",30.5,"ATG"
"6",31.1,"ARG"
"7",32.7,"ARM"
"8",37.2,"AUS"
"9",42.7,"AUT"
"10",29.7,"AZE"
"11",31.8,"BHS"
"12",30.1,"BHR"
"13",25.1,"BGD"
"14",36.9,"BRB"
"15",39.3,"BLR"
"16",41.6,"BEL"
"17",23,"BLZ"
"18",18.4,"BEN"
"19",25.8,"BTN"
"20",22.4,"BOL"
"21",39.5,"BIH"
"22",22.5,"BWA"
"23",30.3,"BRA"
"24",30.5,"BRN"
"25",43,"BGR"
"26",17.1,"BFA"
"27",17.6,"BDI"
"28",24.2,"CPV"
"29",24.4,"KHM"
"30",18.3,"CMR"
"31",40.1,"CAN"
"32",19.7,"CAF"
"33",15.8,"TCD"
"34",33.1,"CHL"
"35",37.4,"CHN"
"36",27.7,"COL"
"37",19.1,"COM"
"38",18.8,"COG"
"39",29.7,"CRI"
"40",19,"CIV"
"41",42.6,"HRV"
"42",40.1,"CUB"
"43",35.2,"CYP"
"44",40.3,"CZE"
"45",33.6,"PRK"
"46",17.4,"COD"
"47",41.1,"DNK"
"48",22.8,"DJI"
"49",25.8,"DOM"
"50",26.1,"ECU"
"51",25.2,"EGY"
"52",24.1,"SLV"
"53",20.6,"GNQ"
"54",18.4,"ERI"
"55",40.9,"EST"
"56",20.1,"SWZ"
"57",18.2,"ETH"
"58",27.1,"FJI"
"59",42.3,"FIN"
"60",40.6,"FRA"
"61",20.7,"GAB"
"62",17,"GMB"
"63",37.6,"GEO"
"64",45.5,"DEU"
"65",20.6,"GHA"
"66",42.8,"GRC"
"67",26.3,"GRD"
"68",19.4,"GTM"
"69",18.6,"GIN"
"70",19.1,"GNB"
"71",22.6,"GUY"
"72",22.2,"HTI"
"73",21.9,"HND"
"74",40.6,"HUN"
"75",35.5,"ISL"
"76",26.4,"IND"
"77",27.8,"IDN"
"78",28.5,"IRN"
"79",19.7,"IRQ"
"80",35.3,"IRL"
"81",30.1,"ISR"
"82",44.3,"ITA"
"83",27.7,"JAM"
"84",45.9,"JPN"
"85",23.4,"JOR"
"86",29.4,"KAZ"
"87",18.8,"KEN"
"88",23.5,"KIR"
"89",29.2,"KWT"
"90",24.6,"KGZ"
"91",21.4,"LAO"
"92",41.5,"LVA"
"93",29.8,"LBN"
"94",20.7,"LSO"
"95",18.5,"LBR"
"96",26.6,"LBY"
"97",39.3,"LTU"
"98",39,"LUX"
"99",18.4,"MDG"
"100",17.2,"MWI"
"101",27.4,"MYS"
"102",25,"MDV"
"103",16.3,"MLI"
"104",40.9,"MLT"
"105",19.8,"MRT"
"106",34.6,"MUS"
"107",27,"MEX"
"108",21,"FSM"
"109",26.8,"MNG"
"110",37.1,"MNE"
"111",27,"MAR"
"112",17.3,"MOZ"
"113",29,"MMR"
"114",21.2,"NAM"
"115",22.4,"NPL"
"116",41.8,"NLD"
"117",37,"NZL"
"118",23.1,"NIC"
"119",15,"NER"
"120",17.8,"NGA"
"121",39,"NOR"
"122",26.3,"OMN"
"123",22.5,"PAK"
"124",27.9,"PAN"
"125",20.9,"PNG"
"126",23.9,"PRY"
"127",26.5,"PER"
"128",23,"PHL"
"129",38.8,"POL"
"130",42.2,"PRT"
"131",31.7,"QAT"
"132",39.4,"KOR"
"133",35.8,"MDA"
"134",39.4,"ROU"
"135",38.3,"RUS"
"136",18.2,"RWA"
"137",30.5,"LCA"
"138",29,"VCT"
"139",21,"WSM"
"140",19.2,"STP"
"141",27.5,"SAU"
"142",18.1,"SEN"
"143",38.7,"SRB"
"144",32.6,"SYC"
"145",19.1,"SLE"
"146",38.1,"SGP"
"147",38.2,"SVK"
"148",42.4,"SVN"
"149",19.7,"SLB"
"150",16.3,"SOM"
"151",26,"ZAF"
"152",18.6,"SSD"
"153",41.4,"ESP"
"154",31.4,"LKA"
"155",19.2,"SDN"
"156",28.5,"SUR"
"157",41,"SWE"
"158",42,"CHE"
"159",22.4,"SYR"
"160",21.7,"TJK"
"161",36.9,"THA"
"162",37.1,"MKD"
"163",16.6,"TLS"
"164",18.9,"TGO"
"165",21.3,"TON"
"166",33.3,"TTO"
"167",30.3,"TUN"
"168",29.4,"TUR"
"169",25.6,"TKM"
"170",15.8,"UGA"
"171",39.7,"UKR"
"172",30,"ARE"
"173",40.2,"GBR"
"174",17.5,"TZA"
"175",37.4,"USA"
"176",34.4,"URY"
"177",25.3,"UZB"
"178",21.7,"VUT"
"179",27,"VEN"
"180",29.8,"VNM"
"181",19.1,"YEM"
"182",16.6,"ZMB"
"183",19.5,"ZWE"
