"","pandemic_prep","country_id"
"1",83.5,"USA"
"2",77.9,"GBR"
"3",75.6,"NLD"
"4",75.5,"AUS"
"5",75.3,"CAN"
"6",73.2,"THA"
"7",72.1,"SWE"
"8",70.4,"DNK"
"9",70.2,"KOR"
"10",68.7,"FIN"
"11",68.2,"FRA"
"12",67.2,"SVN"
"13",67,"CHE"
"14",66,"DEU"
"15",65.9,"ESP"
"16",64.6,"NOR"
"17",62.9,"LVA"
"18",62.2,"MYS"
"19",61,"BEL"
"20",60.3,"PRT"
"21",59.8,"JPN"
"22",59.7,"BRA"
"23",59,"IRL"
"24",58.7,"SGP"
"25",58.6,"ARG"
"26",58.5,"AUT"
"27",58.3,"CHL"
"28",57.6,"MEX"
"29",57,"EST"
"30",56.6,"IDN"
"31",56.2,"ITA"
"32",55.4,"POL"
"33",55,"LTU"
"34",54.8,"ZAF"
"35",54,"HUN"
"36",54,"NZL"
"37",53.8,"GRC"
"38",53.3,"HRV"
"39",52.9,"ALB"
"40",52.4,"TUR"
"41",52.3,"SRB"
"42",52,"CZE"
"43",52,"GEO"
"44",50.2,"ARM"
"45",50.1,"ECU"
"46",49.5,"MNG"
"47",49.3,"KGZ"
"48",49.3,"SAU"
"49",49.2,"PER"
"50",49.1,"VNM"
"51",48.2,"CHN"
"52",47.9,"SVK"
"53",47.6,"PHL"
"54",47.3,"ISR"
"55",47.1,"KEN"
"56",46.7,"ARE"
"57",46.5,"IND"
"58",46.3,"ISL"
"59",46.1,"KWT"
"60",45.8,"ROU"
"61",45.6,"BGR"
"62",45.1,"CRI"
"63",44.3,"RUS"
"64",44.3,"UGA"
"65",44.2,"COL"
"66",44.2,"SLV"
"67",43.8,"LUX"
"68",43.7,"MNE"
"69",43.7,"MAR"
"70",43.7,"PAN"
"71",43.5,"LIE"
"72",43.4,"MMR"
"73",43.1,"LAO"
"74",43.1,"LBN"
"75",43.1,"NIC"
"76",43.1,"OMN"
"77",43,"CYP"
"78",42.9,"MDA"
"79",42.8,"BIH"
"80",42.1,"JOR"
"81",41.3,"URY"
"82",41.2,"QAT"
"83",40.7,"KAZ"
"84",40.6,"ETH"
"85",40.3,"BTN"
"86",40.1,"MDG"
"87",39.9,"EGY"
"88",39.4,"BHR"
"89",39.2,"KHM"
"90",39.1,"MKD"
"91",38.3,"DOM"
"92",38.2,"SLE"
"93",38.2,"ZWE"
"94",38,"UKR"
"95",37.9,"SEN"
"96",37.8,"NGA"
"97",37.7,"IRN"
"98",37.3,"MLT"
"99",36.6,"TTO"
"100",36.5,"SUR"
"101",36.4,"TZA"
"102",35.8,"BOL"
"103",35.7,"PRY"
"104",35.6,"NAM"
"105",35.5,"CIV"
"106",35.5,"GHA"
"107",35.5,"PAK"
"108",35.3,"BLR"
"109",35.3,"LCA"
"110",35.2,"CUB"
"111",35.1,"LBR"
"112",35.1,"NPL"
"113",35,"BGD"
"114",34.9,"MUS"
"115",34.4,"CMR"
"116",34.3,"UZB"
"117",34.2,"AZE"
"118",34.2,"GMB"
"119",34.2,"RWA"
"120",33.9,"LKA"
"121",33.8,"MDV"
"122",33.7,"TUN"
"123",33,"VCT"
"124",32.8,"FSM"
"125",32.7,"GTM"
"126",32.7,"GIN"
"127",32.7,"MCO"
"128",32.6,"BRN"
"129",32.5,"TGO"
"130",32.3,"AFG"
"131",32.3,"TJK"
"132",32.2,"NER"
"133",31.9,"BRB"
"134",31.9,"SYC"
"135",31.8,"BLZ"
"136",31.8,"TKM"
"137",31.7,"GUY"
"138",31.5,"HTI"
"139",31.1,"BWA"
"140",31.1,"SWZ"
"141",31.1,"SMR"
"142",30.6,"BHS"
"143",30.5,"AND"
"144",30.2,"LSO"
"145",30.1,"BFA"
"146",29.3,"CPV"
"147",29,"ATG"
"148",29,"JAM"
"149",29,"MLI"
"150",28.8,"BEN"
"151",28.8,"TCD"
"152",28.7,"ZMB"
"153",28.1,"MOZ"
"154",28,"MWI"
"155",27.8,"PNG"
"156",27.6,"HND"
"157",27.5,"GRD"
"158",27.5,"MRT"
"159",27.3,"CAF"
"160",27.2,"COM"
"161",26.5,"COD"
"162",26.4,"WSM"
"163",26.2,"KNA"
"164",26.2,"SDN"
"165",26.1,"VUT"
"166",26,"TLS"
"167",25.8,"IRQ"
"168",25.7,"FJI"
"169",25.7,"LBY"
"170",25.2,"AGO"
"171",25.1,"TON"
"172",24,"DMA"
"173",23.6,"DZA"
"174",23.6,"COG"
"175",23.2,"DJI"
"176",23,"VEN"
"177",22.8,"BDI"
"178",22.4,"ERI"
"179",21.9,"PLW"
"180",21.7,"SSD"
"181",21.6,"TUV"
"182",20.8,"NRU"
"183",20.7,"SLB"
"184",20.5,"NIU"
"185",20.4,"COK"
"186",20,"GAB"
"187",20,"GNB"
"188",19.9,"SYR"
"189",19.2,"KIR"
"190",18.5,"YEM"
"191",18.2,"MHL"
"192",17.7,"STP"
"193",17.5,"PRK"
"194",16.6,"SOM"
"195",16.2,"GNQ"
