"polar_rile","country_id"
46.5059860011204,"AUS"
47.8512265139654,"AUT"
143.472732953829,"BRA"
0.824521012011652,"BGR"
51.2445748079149,"CAN"
33.1843098353419,"CHL"
12.2482664716863,"HRV"
16.053162004777,"CYP"
21.3988362113384,"CZE"
42.2147282665715,"DNK"
20.3148842671288,"EST"
30.3198476593795,"FIN"
55.6802252731331,"FRA"
0.971081987564332,"GEO"
51.5931560782897,"DEU"
107.514115594296,"GRC"
30.872530707939,"ISL"
11.2008497009892,"IRL"
39.4410668222391,"ISR"
21.6735780635095,"ITA"
7.82974442397867,"LVA"
7.67546759441908,"LTU"
15.7170455219747,"MEX"
4.33613621758685,"MNE"
31.5211938680258,"NLD"
29.0127454940201,"NZL"
5.81033328003309,"MKD"
40.6234981161149,"NOR"
44.2638813977809,"PRT"
10.152434241298,"ROU"
24.8296946530111,"SRB"
4.12990329937247,"SVK"
2.50339062366862,"KOR"
53.601736271048,"ESP"
32.8224447127174,"SWE"
110.551077959332,"CHE"
20.5378057041761,"TUR"
38.5650559999115,"GBR"
84.8183181790004,"USA"
