"","share_health_ins","country_id"
"1",23.6,"ALB"
"2",85.2,"DZA"
"3",3,"ASM"
"4",0,"AGO"
"5",51.1,"ATG"
"6",96.8,"ARG"
"7",100,"ARM"
"8",99.2,"ABW"
"9",100,"AUS"
"10",99.3,"AUT"
"11",2.9,"AZE"
"12",100,"BHS"
"13",100,"BHR"
"14",1.4,"BGD"
"15",100,"BRB"
"16",100,"BLR"
"17",99,"BEL"
"18",25,"BLZ"
"19",9,"BEN"
"20",90,"BTN"
"21",42.7,"BOL"
"22",59.2,"BIH"
"23",100,"BRA"
"24",100,"BRN"
"25",87,"BGR"
"26",1,"BFA"
"27",28.4,"BDI"
"28",26.1,"KHM"
"29",2,"CMR"
"30",100,"CAN"
"31",6,"CAF"
"32",93.1,"CHL"
"33",96.9,"CHN"
"34",87.7,"COL"
"35",100,"CRI"
"36",1.2,"CIV"
"37",97,"HRV"
"38",100,"CUB"
"39",65,"CYP"
"40",100,"CZE"
"41",10,"COD"
"42",100,"DNK"
"43",30,"DJI"
"44",13.4,"DMA"
"45",26.5,"DOM"
"46",22.8,"ECU"
"47",51.1,"EGY"
"48",21.6,"SLV"
"49",92.9,"EST"
"50",100,"FJI"
"51",100,"FIN"
"52",99.9,"FRA"
"53",57.6,"GAB"
"54",99.9,"GMB"
"55",25,"GEO"
"56",100,"DEU"
"57",73.9,"GHA"
"58",100,"GRC"
"59",7.4,"GRD"
"60",30,"GTM"
"61",0.2,"GIN"
"62",1.6,"GNB"
"63",23.8,"GUY"
"64",3.1,"HTI"
"65",12,"HND"
"66",100,"HKG"
"67",100,"HUN"
"68",100,"ISL"
"69",12.5,"IND"
"70",59,"IDN"
"71",90,"IRN"
"72",100,"IRL"
"73",100,"ISR"
"74",100,"ITA"
"75",20.1,"JAM"
"76",100,"JPN"
"77",75,"JOR"
"78",70,"KAZ"
"79",39.4,"KEN"
"80",100,"KWT"
"81",83,"KGZ"
"82",11.6,"LAO"
"83",70,"LVA"
"84",48.3,"LBN"
"85",17.6,"LSO"
"86",95,"LIE"
"87",95,"LTU"
"88",97.6,"LUX"
"89",94.9,"MKD"
"90",3.7,"MDG"
"91",100,"MYS"
"92",30,"MDV"
"93",1.9,"MLI"
"94",100,"MLT"
"95",6,"MRT"
"96",100,"MUS"
"97",85.6,"MEX"
"98",75.7,"MDA"
"99",81.9,"MNG"
"100",95,"MNE"
"101",42.3,"MAR"
"102",28,"NAM"
"103",0.1,"NPL"
"104",98.9,"NLD"
"105",100,"NZL"
"106",12.2,"NIC"
"107",3.1,"NER"
"108",2.2,"NGA"
"109",100,"NOR"
"110",97,"OMN"
"111",26.6,"PAK"
"112",16.2,"PSE"
"113",51.8,"PAN"
"114",23.6,"PRY"
"115",64.4,"PER"
"116",82,"PHL"
"117",97.5,"POL"
"118",100,"PRT"
"119",100,"QAT"
"120",94.3,"ROU"
"121",88,"RUS"
"122",91,"RWA"
"123",28.8,"KNA"
"124",35.5,"LCA"
"125",9.4,"VCT"
"126",2.1,"STP"
"127",20.1,"SEN"
"128",92.1,"SRB"
"129",0,"SLE"
"130",100,"SGP"
"131",94.8,"SVK"
"132",100,"SVN"
"133",100,"ZAF"
"134",100,"KOR"
"135",99.2,"ESP"
"136",100,"LKA"
"137",29.7,"SDN"
"138",6.2,"SWZ"
"139",100,"SWE"
"140",100,"CHE"
"141",90,"SYR"
"142",99.6,"TWN"
"143",0.3,"TJK"
"144",13,"TZA"
"145",98,"THA"
"146",4,"TGO"
"147",80,"TUN"
"148",86,"TUR"
"149",82.3,"TKM"
"150",2,"UGA"
"151",100,"UKR"
"152",100,"ARE"
"153",100,"GBR"
"154",84,"USA"
"155",97.2,"URY"
"156",100,"UZB"
"157",100,"VUT"
"158",100,"VEN"
"159",61,"VNM"
"160",42,"YEM"
"161",8.4,"ZMB"
"162",1,"ZWE"
